iter	Passed	Remaining
0	1	147
1	2	122
2	3	119
3	4	110
4	6	114
5	7	114
6	8	116
7	10	118
8	11	117
9	12	113
10	13	111
11	14	109
12	15	106
13	17	105
14	18	103
15	19	102
16	20	101
17	22	100
18	23	99
19	24	98
20	25	96
21	26	95
22	27	93
23	28	91
24	30	90
25	31	89
26	32	88
27	33	86
28	35	85
29	36	84
30	37	83
31	38	82
32	40	81
33	41	79
34	42	78
35	43	77
36	44	76
37	46	75
38	47	74
39	48	73
40	50	72
41	50	70
42	52	69
43	53	67
44	54	66
45	56	65
46	57	64
47	58	63
48	59	62
49	61	61
50	62	59
51	63	58
52	64	57
53	65	55
54	66	54
55	67	53
56	69	52
57	70	50
58	71	49
59	72	48
60	73	46
61	74	45
62	75	44
63	77	43
64	78	42
65	79	41
66	80	39
67	82	38
68	83	37
69	84	36
70	85	35
71	87	33
72	88	32
73	89	31
74	90	30
75	91	28
76	92	27
77	94	26
78	95	25
79	96	24
80	97	22
81	98	21
82	100	20
83	101	19
84	102	18
85	103	16
86	104	15
87	105	14
88	106	13
89	107	11
90	108	10
91	110	9
92	111	8
93	112	7
94	113	5
95	114	4
96	115	3
97	116	2
98	118	1
99	119	0
