iter	RMSE
0	10.4401382
1	8.850977279
2	7.414457844
3	6.22340971
4	5.22497742
5	4.621681073
6	4.039698412
7	3.621232171
8	3.24409084
9	2.909300842
10	2.716333206
11	2.536187812
12	2.393864548
13	2.284399712
14	2.19204933
15	2.121203546
16	2.071227828
17	2.028194314
18	1.99291872
19	1.971000496
20	1.942770473
21	1.924943839
22	1.907926643
23	1.889997732
24	1.872774246
25	1.859507196
26	1.844099571
27	1.830356157
28	1.820663434
29	1.804455418
30	1.789057745
31	1.778827646
32	1.762174741
33	1.753845339
34	1.742454081
35	1.725512191
36	1.716321734
37	1.70400996
38	1.690922553
39	1.680146426
40	1.664617687
41	1.656482451
42	1.647825132
43	1.640785589
44	1.630789206
45	1.618373534
46	1.606736788
47	1.598565976
48	1.5916224
49	1.577884689
50	1.567596717
51	1.560720492
52	1.551844295
53	1.544089612
54	1.535536247
55	1.525489105
56	1.511740611
57	1.506330529
58	1.495421019
59	1.488969035
60	1.476536202
61	1.468968456
62	1.456448598
63	1.450519828
64	1.441289363
65	1.432642915
66	1.428353566
67	1.419982655
68	1.413911211
69	1.404414965
70	1.394569468
71	1.381958756
72	1.374826905
73	1.366371397
74	1.36211547
75	1.354137975
76	1.346156217
77	1.340628583
78	1.335845997
79	1.327796124
80	1.32566554
81	1.318220219
82	1.314842079
83	1.305111329
84	1.301258505
85	1.29352799
86	1.287161545
87	1.278725976
88	1.272132143
89	1.267757409
90	1.264624058
91	1.255563273
92	1.248646231
93	1.241549991
94	1.237271577
95	1.229977733
96	1.225126691
97	1.217957069
98	1.21377507
99	1.208187213
