iter	Passed	Remaining
0	107	107207
1	108	54044
2	109	36264
3	109	27366
4	110	22036
5	111	18503
6	112	15986
7	113	14075
8	114	12593
9	115	11413
10	115	10429
11	116	9621
12	117	8944
13	118	8359
14	119	7849
15	120	7407
16	121	7006
17	121	6649
18	122	6340
19	123	6059
20	124	5807
21	125	5571
22	126	5358
23	127	5166
24	127	4984
25	128	4822
26	129	4672
27	130	4536
28	131	4406
29	132	4280
30	133	4163
31	134	4054
32	134	3950
33	135	3853
34	136	3760
35	137	3676
36	138	3596
37	139	3525
38	140	3453
39	140	3382
40	141	3317
41	142	3256
42	143	3194
43	144	3137
44	145	3084
45	146	3032
46	147	2982
47	147	2931
48	148	2886
49	149	2842
50	151	2819
51	152	2782
52	153	2745
53	154	2708
54	155	2670
55	156	2636
56	157	2603
57	158	2568
58	159	2537
59	159	2505
60	160	2476
61	162	2451
62	163	2424
63	163	2396
64	164	2369
65	165	2344
66	166	2316
67	167	2294
68	168	2268
69	168	2244
70	169	2222
71	170	2198
72	171	2175
73	172	2154
74	173	2137
75	174	2125
76	175	2107
77	177	2094
78	178	2085
79	180	2073
80	181	2063
81	182	2048
82	183	2031
83	184	2014
84	185	2001
85	186	1985
86	187	1970
87	188	1954
88	189	1939
89	190	1927
90	191	1911
91	192	1895
92	193	1883
93	194	1872
94	195	1866
95	196	1853
96	197	1839
97	198	1828
98	199	1815
99	200	1802
100	201	1791
101	201	1778
102	202	1764
103	203	1753
104	204	1742
105	205	1732
106	206	1722
107	207	1710
108	208	1702
109	209	1691
110	210	1682
111	211	1672
112	212	1665
113	213	1656
114	214	1647
115	215	1638
116	215	1629
117	216	1619
118	218	1614
119	219	1606
120	219	1597
121	220	1589
122	221	1581
123	222	1574
124	223	1565
125	224	1560
126	225	1551
127	226	1543
128	227	1536
129	228	1530
130	229	1524
131	230	1516
132	231	1510
133	232	1502
134	233	1496
135	234	1490
136	235	1483
137	236	1476
138	237	1470
139	238	1464
140	239	1458
141	240	1450
142	241	1445
143	242	1439
144	243	1433
145	244	1427
146	245	1422
147	246	1416
148	246	1410
149	247	1405
150	248	1399
151	249	1394
152	250	1389
153	252	1386
154	253	1382
155	254	1378
156	255	1372
157	256	1368
158	257	1363
159	258	1358
160	259	1351
161	260	1346
162	261	1341
163	262	1337
164	263	1332
165	264	1327
166	265	1322
167	265	1317
168	267	1313
169	268	1309
170	269	1304
171	270	1300
172	271	1295
173	272	1291
174	273	1289
175	274	1285
176	275	1281
177	276	1276
178	277	1272
179	278	1268
180	279	1265
181	280	1261
182	281	1257
183	282	1253
184	283	1248
185	284	1245
186	285	1240
187	286	1237
188	287	1233
189	288	1229
190	289	1225
191	290	1222
192	291	1219
193	292	1216
194	293	1211
195	294	1207
196	295	1205
197	297	1203
198	298	1200
199	299	1197
200	300	1193
201	301	1190
202	302	1187
203	303	1183
204	304	1180
205	305	1177
206	306	1174
207	307	1171
208	308	1167
209	309	1165
210	310	1162
211	311	1159
212	313	1156
213	314	1153
214	315	1150
215	315	1146
216	317	1143
217	317	1140
218	318	1137
219	319	1134
220	320	1131
221	321	1127
222	322	1124
223	324	1122
224	325	1120
225	326	1117
226	327	1115
227	329	1114
228	330	1111
229	331	1108
230	332	1105
231	333	1102
232	334	1100
233	335	1097
234	336	1095
235	337	1092
236	338	1089
237	339	1087
238	340	1084
239	341	1082
240	342	1079
241	343	1077
242	345	1075
243	346	1072
244	347	1069
245	348	1066
246	349	1064
247	350	1062
248	358	1082
249	360	1080
250	361	1077
251	362	1075
252	363	1074
253	365	1072
254	366	1070
255	367	1068
256	368	1066
257	370	1065
258	371	1063
259	372	1061
260	374	1059
261	375	1057
262	376	1055
263	377	1053
264	379	1053
265	381	1051
266	382	1049
267	383	1047
268	384	1045
269	386	1044
270	387	1042
271	388	1039
272	389	1037
273	390	1035
274	392	1033
275	393	1031
276	394	1029
277	395	1027
278	397	1026
279	398	1023
280	399	1021
281	400	1020
282	402	1019
283	403	1017
284	404	1015
285	405	1013
286	407	1012
287	408	1010
288	410	1008
289	411	1006
290	412	1004
291	413	1002
292	414	1000
293	416	999
294	417	998
295	419	996
296	420	995
297	421	993
298	423	992
299	424	990
300	425	988
301	427	987
302	428	985
303	429	983
304	430	982
305	432	980
306	433	979
307	435	978
308	436	976
309	438	975
310	439	973
